Topic_Word_Rank,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Word_1,pua,不知道,受害者,是不是,為什麼,不知道,而不是,自助餐
Word_2,为什么,万余元,为什么,女朋友,在一起,越来越,這件事,高速公路
Word_3,中国人,pua,pua,为什么,也可以,大部分,不知道,太好了
Word_4,男孩子,可能是,真的是,不知道,不可能,都不是,一定是,為什麼
Word_5,女孩子,一個人,麦当劳,不需要,都沒有,真的是,女朋友,主要是
Word_6,也不是,這件事,家庭的,也没有,這就是,受害者,能不能,有些人
Word_7,是不是,中国人,全世界,大部分,也沒有,女朋友,人民幣,不平等
Word_8,没什么,尤其是,其实是,男朋友,男尊女卑,我知道,垃圾桶,應該是
Word_9,可能是,真的是,好像是,男女平等,沒什麼,是不是,有些人,一個人
Word_10,不值得,為什麼,肯定是,所谓的,不存在,也不是,为什么,男女平等
