word,n,rank
talk,42,1
marketing,39,2
ram,27,3
it’s,24,4
speech,20,5
choices,17,6
amazing,13,7
thankyou,13,8
that’s,12,9
topic,12,10
ramkumar,11,11
congratulations,10,12
insights,10,13
day,9,14
makes,9,15
psychology,9,16
trust,9,17
wonderful,9,18
love,8,19
ethics,7,20
excellent,7,21
lot,7,22
people,7,23
powerful,7,24
awesome,6,25
easily,6,26
hear,6,27
informative,6,28
inspiring,6,29
job,6,30
loved,6,31
message,6,32
perspective,6,33
question,6,34
congrats,5,35
enjoyed,5,36
experience,5,37
nutella,5,38
pitch,5,39
provoking,5,40
real,5,41
stage,5,42
storytelling,5,43
tedx,5,44
time,5,45
wisdom,5,46
words,5,47
absolutely,4,48
awareness,4,49
consistency,4,50
data,4,51
easy,4,52
emotions,4,53
ethical,4,54
eye,4,55
future,4,56
incredibly,4,57
insightful,4,58
knowledge,4,59
personal,4,60
race,4,61
reminded,4,62
reminder,4,63
scarcity,4,64
sharing,4,65
speaker,4,66
spot,4,67
stuff,4,68
tech,4,69
true,4,70
world,4,71
wow,4,72
ads,3,73
brilliant,3,74
buy,3,75
buying,3,76
couldn’t,3,77
didn’t,3,78
fantastic,3,79
he’s,3,80
incredible,3,81
i’m,3,82
level,3,83
line,3,84
marketers,3,85
means,3,86
motivating,3,87
nice,3,88
power,3,89
protect,3,90
proud,3,91
refreshing,3,92
resonated,3,93
responsibility,3,94
shouldn’t,3,95
sir,3,96
super,3,97
superb,3,98
support,3,99
targeted,3,100
technology,3,101
they’re,3,102
understanding,3,103
watching,3,104
articulated,2,105
audience,2,106
aware,2,107
balance,2,108
behavior,2,109
brands,2,110
bro,2,111
built,2,112
choose,2,113
clarity,2,114
coming,2,115
common,2,116
complex,2,117
concepts,2,118
connections,2,119
conscious,2,120
consumer,2,121
controlling,2,122
dad,2,123
dangerous,2,124
decisions,2,125
delivering,2,126
digital,2,127
don’t,2,128
driven,2,129
emotional,2,130
empathy,2,131
empowering,2,132
enjoying,2,133
expertise,2,134
explained,2,135
fake,2,136
feels,2,137
framed,2,138
fresh,2,139
friend,2,140
glad,2,141
hit,2,142
hooked,2,143
human,2,144
idea,2,145
impactful,2,146
influenced,2,147
insight,2,148
inspire,2,149
isn’t,2,150
laugh,2,151
linked,2,152
loyalty,2,153
luxury,2,154
machines,2,155
magic,2,156
manipulate,2,157
manipulated,2,158
manipulation,2,159
matter,2,160
mention,2,161
messaging,2,162
money,2,163
move,2,164
necessity,2,165
notice,2,166
online,2,167
outstanding,2,168
past,2,169
perfect,2,170
personalization,2,171
predictable,2,172
presence,2,173
presentation,2,174
privacy,2,175
proof,2,176
pushing,2,177
ramcaliber,2,178
ramcaliberit,2,179
realize,2,180
reflect,2,181
relevant,2,182
responsibly,2,183
role,2,184
scary,2,185
scroll,2,186
seamlessly,2,187
sell,2,188
shaped,2,189
social,2,190
starting,2,191
stood,2,192
stories,2,193
story,2,194
switzerland,2,195
tactics,2,196
takeaways,2,197
talent,2,198
terms,2,199
thinking,2,200
tied,2,201
tool,2,202
understandable,2,203
usual,2,204
watch,2,205
"35,000",1,206
"86,400",1,207
abused,1,208
access,1,209
accountability,1,210
achievement,1,211
acknowledge,1,212
added,1,213
addition,1,214
adds,1,215
admire,1,216
agree,1,217
alexa,1,218
algorithms,1,219
algérie,1,220
alienates,1,221
alongside,1,222
amplified,1,223
amplifying,1,224
analysts,1,225
anithasekar3409,1,226
answer,1,227
anti,1,228
anticipates,1,229
appearing,1,230
applause,1,231
applications,1,232
appreciative,1,233
apt,1,234
arthur,1,235
aspect,1,236
aspects,1,237
aswell,1,238
atleast,1,239
attention,1,240
attract,1,241
audit,1,242
awarness,1,243
bag,1,244
balanced,1,245
based,1,246
basis,1,247
beauty,1,248
bit,1,249
bits,1,250
blend,1,251
blended,1,252
blowing,1,253
boundaries,1,254
bout,1,255
brand,1,256
breakdown,1,257
breaking,1,258
breaks,1,259
brilliantly,1,260
bring,1,261
brought,1,262
call,1,263
calling,1,264
campaign,1,265
can’t,1,266
central,1,267
challenge,1,268
changed,1,269
changing,1,270
check,1,271
choice,1,272
choosing,1,273
clever,1,274
closing,1,275
coin,1,276
coincidentally,1,277
cold,1,278
combination,1,279
companies,1,280
connect,1,281
connected,1,282
considered,1,283
control,1,284
conversation,1,285
conversion,1,286
convincing,1,287
create,1,288
created,1,289
creativity,1,290
crm,1,291
crosses,1,292
cup,1,293
current,1,294
daily,1,295
darker,1,296
days,1,297
