word,n,rank
talk,68,1
dominique,57,2
speaker,40,3
conversation,33,4
love,27,5
topic,23,6
governance,20,7
super,19,8
world,17,9
talks,15,10
congratulations,14,11
i’m,14,12
sharing,14,13
loved,13,14
fast,12,15
agree,10,16
amazing,10,17
enjoyed,10,18
evolving,10,19
lot,10,20
security,10,21
tedx,10,22
crazy,9,23
excellent,9,24
hear,9,25
i’ve,9,26
people,9,27
fab,8,28
inspiring,8,29
listened,8,30
speaker’s,8,31
data,7,32
fantastic,7,33
fascinating,7,34
intelligence,7,35
knowledge,7,36
wonderful,7,37
brilliant,6,38
companies,6,39
congrats,6,40
glad,6,41
humans,6,42
industries,6,43
insights,6,44
key,6,45
leading,6,46
listening,6,47
lol,6,48
message,6,49
mind,6,50
online,6,51
perspective,6,52
stuff,6,53
subject,6,54
time,6,55
bravo,5,56
cyber,5,57
feel,5,58
found,5,59
grateful,5,60
health,5,61
huge,5,62
it’s,5,63
motivated,5,64
real,5,65
responsibility,5,66
shared,5,67
wow,5,68
breaches,4,69
business,4,70
chat,4,71
discussion,4,72
friends,4,73
heard,4,74
hope,4,75
hot,4,76
incredible,4,77
informative,4,78
knowledgeable,4,79
listen,4,80
times,4,81
todays,4,82
trust,4,83
watch,4,84
wisdom,4,85
alot,3,86
artifical,3,87
artificial,3,88
attacks,3,89
book,3,90
bots,3,91
called,3,92
dealing,3,93
fabulous,3,94
fire,3,95
future,3,96
idea,3,97
implement,3,98
implications,3,99
impressive,3,100
industry,3,101
info,3,102
innovative,3,103
inspired,3,104
issue,3,105
issues,3,106
knowledgable,3,107
lady,3,108
learn,3,109
life,3,110
passion,3,111
powerful,3,112
ransom,3,113
realise,3,114
recommend,3,115
resonated,3,116
robots,3,117
role,3,118
sectors,3,119
share,3,120
speech,3,121
stay,3,122
totally,3,123
watched,3,124
you’ve,3,125
accountability,2,126
act,2,127
affected,2,128
alert,2,129
alluded,2,130
bad,2,131
beautiful,2,132
bloody,2,133
blows,2,134
boggles,2,135
calm,2,136
careful,2,137
ceos,2,138
click,2,139
coming,2,140
complex,2,141
concern,2,142
consequences,2,143
content,2,144
control,2,145
controlling,2,146
convo,2,147
cool,2,148
crime,2,149
critical,2,150
crucial,2,151
defence,2,152
deliver,2,153
delivered,2,154
development,2,155
didn’t,2,156
digital,2,157
emails,2,158
embrace,2,159
employees,2,160
engaging,2,161
ensure,2,162
enthusiasm,2,163
evolve,2,164
expert,2,165
eyes,2,166
feeling,2,167
flames,2,168
generative,2,169
genuine,2,170
growth,2,171
healthcare,2,172
highly,2,173
hugely,2,174
ideas,2,175
imagine,2,176
innovation,2,177
input,2,178
isn’t,2,179
language,2,180
learned,2,181
legal,2,182
linkedin,2,183
links,2,184
media,2,185
model,2,186
natural,2,187
navigate,2,188
pivotal,2,189
provoking,2,190
refreshing,2,191
relate,2,192
reported,2,193
round,2,194
safe,2,195
shown,2,196
simple,2,197
solo,2,198
specific,2,199
stand,2,200
story,2,201
storyteller,2,202
taking,2,203
talking,2,204
tech,2,205
ted,2,206
that’s,2,207
threat,2,208
tips,2,209
trustworthy,2,210
unique,2,211
valuable,2,212
video,2,213
wait,2,214
watching,2,215
weird,2,216
words,2,217
worry,2,218
50s,1,219
6.1,1,220
absolutely,1,221
accent,1,222
addressed,1,223
addressing,1,224
adopt,1,225
advice,1,226
ago,1,227
agreement,1,228
aint,1,229
alarmed,1,230
amazed,1,231
anymore,1,232
apologies,1,233
applications,1,234
apply,1,235
approach,1,236
articulated,1,237
assistants,1,238
attitude,1,239
audience,1,240
authentic,1,241
avoid,1,242
awareness,1,243
awsm,1,244
bar,1,245
beautifully,1,246
beginning,1,247
bet,1,248
bias,1,249
bio,1,250
blend,1,251
blowing,1,252
bot,1,253
brill,1,254
bring,1,255
broke,1,256
building,1,257
buy,1,258
california,1,259
can’t,1,260
cares,1,261
carry,1,262
catch,1,263
challenging,1,264
change,1,265
changed,1,266
changer,1,267
changing,1,268
charge,1,269
clarity,1,270
