"","x"
"people",1
"sam",0.710539925601917
"leaders",0.676002362391232
"digital",0.670447385911847
"shtshow",0.658323317510532
"save",0.655337471167671
"harping",0.652501935548611
"shtick",0.650505941329145
"lightningaussie",0.647712744414882
"println",0.646744768237275
