doc_id,V1,V2,V3,V4,V5,V6,V7,V8
1,0,0,0,0,0,0,0,0
2,0.42,0,0,0,0.18,0,0,0.4
3,0.02,0.46,0.04,0.02,0,0,0.46,0
4,0,0.1,0,0.4,0,0,0,0.5
5,0.8,0,0.2,0,0,0,0,0
6,0,0,0,0,0,0,0.66,0.34
7,0,0,0.06,0.21,0.02,0.09,0.47000000000000003,0.15
8,0,0,0,0,0,0,0,1
9,0,0,0,0,0.9142857142857143,0.08571428571428572,0,0
10,0,0,0,0,1,0,0,0
11,0,0.007692307692307693,0.007692307692307693,0.23076923076923078,0,0.007692307692307693,0,0.7461538461538462
12,0.05714285714285714,0,0.14285714285714285,0,0,0,0,0.7999999999999999
13,0.044444444444444446,0.044444444444444446,0.6222222222222222,0,0.11111111111111112,0.011111111111111112,0.16666666666666669,0
14,0,0,0,0,0,0,0,0
15,0.05,0,0,0.05,0,0,0,0.9
16,0.32857142857142857,0.007142857142857143,0,0.03571428571428571,0.03571428571428571,0,0,0.5928571428571429
17,0,0,0,0,0,0,0.025,0.9750000000000001
18,0,0,0.8,0.06,0,0.14,0,0
19,0,0,0,0,0,0,0,1
20,0.04285714285714286,0.14285714285714285,0.007142857142857143,0.17142857142857143,0.5785714285714285,0,0.05714285714285714,0
21,0.25,0,0,0,0,0.05,0.7000000000000001,0
22,0,0,0.1,0.125,0,0,0,0.775
23,0.3142857142857143,0.09999999999999999,0,0,0,0,0,0.5857142857142857
24,0,0,0,0,0,0,0,1
25,0.005,0.47500000000000003,0,0,0,0.02,0.01,0.49
26,0,0.005,0.005,0.05,0.20500000000000002,0.725,0.01,0
27,0,0,0,0,0,0,0.25,0.75
28,0,0,0,0,0,0,0,1
29,0,0.65,0,0,0,0,0,0.35000000000000003
30,0.2,0,0.07333333333333333,0.04,0.060000000000000005,0.33333333333333337,0.2866666666666667,0.006666666666666667
31,0.5,0,0.2,0,0.30000000000000004,0,0,0
32,0,0,0,0,0,0,0,1
33,0.30000000000000004,0.025,0,0,0,0,0,0.675
34,0.044444444444444446,0.5222222222222223,0.011111111111111112,0.044444444444444446,0,0,0.37777777777777777,0
35,1,0,0,0,0,0,0,0
36,0.58,0,0,0.02,0,0,0.02,0.38
37,0.2,0,0,0,0.6875,0.05,0.025,0.037500000000000006
38,0,0,0.1,0.8,0,0,0.1,0
39,0,0,0.9875,0,0.0125,0,0,0
40,0.0125,0,0.5,0,0.4625,0,0.025,0
41,0.03333333333333333,0,0,0.06666666666666667,0,0.03333333333333333,0,0.8666666666666667
42,0.5111111111111112,0,0.05555555555555556,0.061111111111111116,0,0,0.016666666666666666,0.35555555555555557
43,1,0,0,0,0,0,0,0
44,0,0.7000000000000001,0.004761904761904762,0,0.0380952380952381,0.009523809523809525,0.24761904761904763,0
45,0,0,0.0125,0,0.15000000000000002,0.21250000000000002,0.05,0.5750000000000001
46,0,0.7250000000000001,0,0,0,0.275,0,0
47,0,0,0,0,0.02,0,0.28,0.7000000000000001
48,0.8500000000000001,0,0,0,0.15000000000000002,0,0,0
49,0.22727272727272727,0,0,0.00909090909090909,0,0,0,0.7636363636363636
50,0,0,0,1,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0.026470588235294117,0,0.08235294117647059,0,0,0.3176470588235294,0.5647058823529412,0.008823529411764706
53,0.8,0,0,0,0,0.2,0,0
54,0,0,0.05,0.13333333333333333,0,0.8166666666666667,0,0
55,0,0,0,0,0.43333333333333335,0.3333333333333333,0,0.23333333333333334
56,0.38,0.06,0,0.28,0,0.26,0.02,0
57,0.1,0.05,0.45,0.08750000000000001,0,0.3125,0,0
58,0.45,0,0,0.47500000000000003,0,0.07500000000000001,0,0
59,0,0,0,1,0,0,0,0
60,0.025,0,0.025,0,0.025,0,0,0.925
61,0,0,0.08518518518518518,0.2888888888888889,0.011111111111111112,0.20740740740740743,0.08148148148148149,0.32592592592592595
62,0,0,0,0,0,0,1,0
63,0.007142857142857143,0,0.10714285714285714,0.3,0,0.5357142857142857,0.049999999999999996,0
64,0.52,0,0,0,0.48,0,0,0
65,0.25,0,0,0,0,0,0,0.75
66,0,0,0,0,0,0,0.925,0.07500000000000001
67,0.008571428571428572,0,0.43714285714285717,0,0.002857142857142857,0.3942857142857143,0,0.15714285714285714
68,0.1163265306122449,0.616326530612245,0,0.02448979591836735,0,0,0.24285714285714288,0
69,1,0,0,0,0,0,0,0
70,0,0,0,0.05,0,0,0,0.9500000000000001
71,0,0,0.005,0.12,0.67,0.005,0,0.2
72,0.013333333333333334,0,0,0.6466666666666667,0.33333333333333337,0.006666666666666667,0,0
73,0,0,0,0,0,0.8,0.2,0
74,0,0.02,0,0.86,0,0,0.02,0.1
75,0,0,0.7615384615384616,0.007692307692307693,0.015384615384615385,0.2,0.007692307692307693,0.007692307692307693
76,0.02,0,0,0,0,0,0.14,0.84
77,0.04285714285714286,0.08571428571428572,0.05714285714285714,0.18571428571428572,0,0,0.5142857142857142,0.11428571428571428
78,0,0,0,0,0,0,0.9,0.1
79,0,0,0,0,0,0.9666666666666667,0,0.03333333333333333
80,0.6000000000000001,0,0,0,0.05,0.35000000000000003,0,0
81,0,0,0,0,0,1,0,0
82,0,0,0.05,0,0,0,0,0.9500000000000001
83,0,0,0,0,0,0,0.9,0.1
84,0.08333333333333333,0,0,0,0,0,0.016666666666666666,0.9
85,0,0,0.13478260869565217,0.06956521739130435,0,0.5565217391304348,0.23043478260869565,0.008695652173913044
86,0,0,0,0,0,0,0,1
87,0,0,0,0,0,0,0.03333333333333333,0.9666666666666667
88,0,0,0,0,0.3416666666666667,0.4083333333333333,0,0.25
89,0.005454545454545455,0.0036363636363636364,0.6272727272727273,0,0.0018181818181818182,0.22181818181818183,0,0.14
90,0,0,0.7000000000000001,0,0.025,0,0.275,0
