word,n,rank
supposed,12,454
trick,12,455
wanna,12,456
wars,12,457
access,11,458
accurate,11,459
administration,11,460
alive,11,461
anchors,11,462
average,11,463
biased,11,464
blur,11,465
children,11,466
controlled,11,467
daily,11,468
didnt,11,469
donald,11,470
files,11,471
force,11,472
games,11,473
generative,11,474
glad,11,475
horrible,11,476
https,11,477
innocent,11,478
isnt,11,479
kids,11,480
legal,11,481
material,11,482
misleading,11,483
notice,11,484
prevent,11,485
prompt,11,486
regular,11,487
reliable,11,488
removed,11,489
replaced,11,490
russia,11,491
sites,11,492
stations,11,493
tells,11,494
terrible,11,495
veo,11,496
vids,11,497
wake,11,498
warning,11,499
women,11,500
worry,11,501
ability,10,502
advice,10,503
app,10,504
beast,10,505
behavior,10,506
bet,10,507
box,10,508
buy,10,509
close,10,510
conspiracy,10,511
creative,10,512
detect,10,513
difficult,10,514
disclaimer,10,515
disgusting,10,516
doesnt,10,517
entertainment,10,518
extremely,10,519
faking,10,520
fast,10,521
figure,10,522
forever,10,523
forward,10,524
frame,10,525
haha,10,526
harmful,10,527
heads,10,528
hilarious,10,529
invented,10,530
jacobawojtowicz,10,531
label,10,532
lead,10,533
leader,10,534
legislation,10,535
lots,10,536
matrix,10,537
mistake,10,538
model,10,539
movement,10,540
nah,10,541
nonsense,10,542
outlet,10,543
people's,10,544
photo,10,545
photoshop,10,546
police,10,547
population,10,548
provide,10,549
reading,10,550
release,10,551
released,10,552
republicans,10,553
safe,10,554
sort,10,555
speak,10,556
stealing,10,557
surprised,10,558
thousands,10,559
total,10,560
tricked,10,561
type,10,562
verification,10,563
viewers,10,564
websites,10,565
west,10,566
western,10,567
yall,10,568
1st,9,569
abuse,9,570
aliens,9,571
attention,9,572
begin,9,573
bill,9,574
cat,9,575
christ,9,576
claiming,9,577
code,9,578
competition,9,579
corrupt,9,580
cover,9,581
creativity,9,582
criminals,9,583
cry,9,584
cutting,9,585
deal,9,586
democrats,9,587
didn’t,9,588
dog,9,589
downfall,9,590
election,9,591
expect,9,592
fair,9,593
family,9,594
fix,9,595
flying,9,596
form,9,597
found,9,598
freedom,9,599
giant,9,600
giving,9,601
gotta,9,602
green,9,603
gullible,9,604
happy,9,605
hearing,9,606
hey,9,607
highly,9,608
hoax,9,609
home,9,610
huh,9,611
irrelevant,9,612
john,9,613
knowledge,9,614
lady,9,615
language,9,616
lips,9,617
local,9,618
machine,9,619
manipulate,9,620
millions,9,621
minutes,9,622
mom,9,623
network,9,624
politics,9,625
poor,9,626
prove,9,627
quality,9,628
quickly,9,629
quote,9,630
recognize,9,631
required,9,632
robot,9,633
ruin,9,634
scared,9,635
services,9,636
shame,9,637
sharing,9,638
shown,9,639
skynet,9,640
solution,9,641
super,9,642
text,9,643
upset,9,644
user,9,645
views,9,646
waiting,9,647
website,9,648
80s,8,649
abc,8,650
accounts,8,651
advance,8,652
advantage,8,653
agencies,8,654
air,8,655
aired,8,656
amount,8,657
apps,8,658
aren’t,8,659
authentic,8,660
authenticity,8,661
avoid,8,662
awareness,8,663
bible,8,664
blurs,8,665
book,8,666
bro,8,667
choose,8,668
claims,8,669
computers,8,670
continue,8,671
conversation,8,672
copy,8,673
criminal,8,674
developing,8,675
development,8,676
die,8,677
distinguish,8,678
dream,8,679
energy,8,680
english,8,681
entertaining,8,682
factual,8,683
filter,8,684
fine,8,685
heavily,8,686
hide,8,687
idk,8,688
including,8,689
incredibly,8,690
inevitable,8,691
killed,8,692
knowing,8,693
lack,8,694
leave,8,695
lied,8,696
losing,8,697
meaning,8,698
means,8,699
moon,8,700
normal,8,701
parody,8,702
pass,8,703
paying,8,704
period,8,705
physical,8,706
pictures,8,707
positive,8,708
ppl,8,709
private,8,710
producing,8,711
programs,8,712
prompted,8,713
purpose,8,714
random,8,715
results,8,716
rights,8,717
rot,8,718
ruined,8,719
rules,8,720
satanic,8,721
save,8,722
scam,8,723
sick,8,724
sitting,8,725
skills,8,726
slow,8,727
south,8,728
specific,8,729
stand,8,730
starting,8,731
tiktok,8,732
title,8,733
tone,8,734
train,8,735
trash,8,736
uploaded,8,737
veo3,8,738
walk,8,739
woman,8,740
won’t,8,741
yea,8,742
youtu.be,8,743
accessible,7,744
acknowledge,7,745
add,7,746
admit,7,747
amazing,7,748
