"videoId","commentId","parentId","author","text","likeCount","publishedAt","updatedAt","viewerRating","canRate","reply"
"SRA4brHXBBQ","Ugy8bOfuDwehKrrGmap4AaABAg",NA,"@harryjove6725","President Trump Will PREVAIL!",1,"2025-07-26T02:37:03Z","2025-07-26T02:37:03Z","none",TRUE,FALSE
"SRA4brHXBBQ","Ugzj8g7DkZJgDLdC--l4AaABAg",NA,"@harryjove6725","Pres Obama Sediciously tried to overthrow a duly elected President by we the people in2016",1,"2025-07-26T02:38:37Z","2025-07-26T02:39:14Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgxqUkTMaN3s-igpRH14AaABAg",NA,"@khon6339","they been telling ya'll for years. dont believe anything your here believe half of the things you see. telling-lies-2-ur-vision. it has evolved https://youtu.be/oPpkS1ZXQ1Q?si=-NZJ3ic7v1QA-SwT",0,"2025-07-26T02:40:52Z","2025-07-26T02:40:52Z","none",TRUE,FALSE
"SRA4brHXBBQ","Ugx4UFKjdW-18h-0_Dh4AaABAg",NA,"@ThisIsNoFilterNewz","Leave ai alone. Lets talk about the Trump and the Epstein Files please!!",41,"2025-07-26T02:41:21Z","2025-07-26T02:41:21Z","none",TRUE,FALSE
NA,"Ugy8bOfuDwehKrrGmap4AaABAg.AL1-0cP9KfMAL1-Wp-d7MN","Ugy8bOfuDwehKrrGmap4AaABAg","@avocadojackson","President Trump will go to jail",0,"2025-07-26T02:41:26Z","2025-07-26T02:41:26Z","none",TRUE,TRUE
"SRA4brHXBBQ","UgzhvMfB4LGmqbOXD3R4AaABAg",NA,"@reallywillyttv","president trump will fail",0,"2025-07-26T02:43:31Z","2025-07-26T02:43:31Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgxCjgCEa281Kak61OJ4AaABAg",NA,"@ZimuzorOkezie-k7z","AI is becoming a major catastrophe for us.",1078,"2025-07-26T02:58:51Z","2025-07-26T02:58:51Z","none",TRUE,FALSE
NA,"Ugx4UFKjdW-18h-0_Dh4AaABAg.AL1-W87ltX3AL11ZJi_6z1","Ugx4UFKjdW-18h-0_Dh4AaABAg","@T0mF0rd","You don’t see how these are related?🤦🏾",5,"2025-07-26T02:59:15Z","2025-07-26T02:59:15Z","none",TRUE,TRUE
"SRA4brHXBBQ","Ugyqf4rdnkSpudvsjPB4AaABAg",NA,"@user-tx9zg5mz5p","Look at the hands. Ai sucks at them😂",11,"2025-07-26T02:59:19Z","2025-07-26T02:59:46Z","none",TRUE,FALSE
NA,"Ugy8bOfuDwehKrrGmap4AaABAg.AL1-0cP9KfMAL11e1V5YpV","Ugy8bOfuDwehKrrGmap4AaABAg","@T0mF0rd","If I see one of you guys in person…..but yall hide",0,"2025-07-26T03:00:02Z","2025-07-26T03:00:02Z","none",TRUE,TRUE
"SRA4brHXBBQ","Ugx4QR-eG4kqZ_q0OaZ4AaABAg",NA,"@T0mF0rd","Yep I know how the world will end",11,"2025-07-26T03:00:24Z","2025-07-26T03:00:24Z","none",TRUE,FALSE
NA,"Ugx4UFKjdW-18h-0_Dh4AaABAg.AL1-W87ltX3AL13eXnz1-X","Ugx4UFKjdW-18h-0_Dh4AaABAg","@ShawnSullivan-o1f","I'd like to see some AI of Trump laughing and having fun with Epstein. It's not like we have enough without AI generation. 😅",3,"2025-07-26T03:17:35Z","2025-07-26T03:17:35Z","none",TRUE,TRUE
"SRA4brHXBBQ","UgxYiNq5Y_OZRwQqXnV4AaABAg",NA,"@CamachoNacho","NBC yeah this is probably fake too",1,"2025-07-26T03:20:52Z","2025-07-26T03:20:52Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgyFoIi_mSmDxkUXmcR4AaABAg",NA,"@DRX0331","I thought misinformation was bad before now we got AI working and promoting nonsense also.😑",260,"2025-07-26T03:26:41Z","2025-07-26T03:26:41Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgwvQC1QD2cU3FXs0q54AaABAg",NA,"@michaelWells-ef9bx","Epstein Files .....Trump is a Bot = ain’t no way a woman like Melania be sleepin wit Trumpty Dumpty ..",0,"2025-07-26T03:29:20Z","2025-07-26T03:29:20Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgzwxgbY0p9sAm7nUzx4AaABAg",NA,"@jimdoe3288","Fake news like a COVID vaccine that works ? Or fake news like hunters labtop",0,"2025-07-26T03:30:04Z","2025-07-26T03:30:04Z","none",TRUE,FALSE
"SRA4brHXBBQ","UgyF3NmEiJh-nOGSx6t4AaABAg",NA,"@michaelWells-ef9bx","U see the one Trump = little kids ?",0,"2025-07-26T03:30:21Z","2025-07-26T03:30:21Z","none",TRUE,FALSE
