likeCount,reply,word
1,FALSE,todays
1,FALSE,world
1,FALSE,online
1,FALSE,excellent
1,FALSE,conversation
1,FALSE,fast
1,FALSE,evolving
1,FALSE,topic
1,FALSE,love
1,FALSE,style
1,FALSE,tedx
1,FALSE,love
1,FALSE,lady
1,FALSE,knowledgable
1,FALSE,california
1,FALSE,leading
1,FALSE,chat
1,FALSE,gpt
1,FALSE,robots
1,FALSE,taking
1,FALSE,world
1,FALSE,governments
1,FALSE,lots
1,FALSE,issues
1,FALSE,fascinating
1,FALSE,sharing
1,FALSE,dominique
1,FALSE,term
1,FALSE,intelligence
1,FALSE,humans
1,FALSE,navigate
1,FALSE,robots
1,FALSE,fast
1,FALSE,evolving
1,FALSE,safe
1,FALSE,responsible
1,FALSE,crucial
1,FALSE,feel
1,FALSE,employees
1,FALSE,alot
1,FALSE,training
1,FALSE,raising
1,FALSE,awareness
1,FALSE,idea
1,FALSE,exciting
1,FALSE,emerging
1,FALSE,developments
1,FALSE,enjoyed
1,FALSE,speaker
1,FALSE,love
1,FALSE,topic
1,FALSE,learning
1,FALSE,companies
1,FALSE,dollar
1,FALSE,invest
1,FALSE,smes
1,FALSE,todays
1,FALSE,world
1,FALSE,online
1,FALSE,excellent
1,FALSE,conversation
0,FALSE,damn
0,FALSE,hot
0,FALSE,hot
1,FALSE,trendy
1,FALSE,awsm
1,FALSE,role
1,FALSE,model
0,FALSE,picture
0,FALSE,morning
0,FALSE,special
1,FALSE,crazy
1,FALSE,amazing
4,FALSE,super
4,FALSE,conversation
4,FALSE,dominique
4,FALSE,speaker
4,FALSE,knowledgable
1,FALSE,agree
1,FALSE,trust
1,FALSE,key
1,FALSE,artificial
1,FALSE,intelligence
1,FALSE,crazy
1,FALSE,leading
1,FALSE,insights
1,FALSE,sharing
1,FALSE,people
1,FALSE,tech
1,FALSE,data
1,FALSE,fast
1,FALSE,evolving
1,FALSE,field
1,FALSE,careful
1,FALSE,click
1,FALSE,links
1,FALSE,simple
1,FALSE,measures
1,FALSE,avoid
1,FALSE,huge
1,FALSE,breaches
1,FALSE,cyber
1,FALSE,crime
1,FALSE,massive
1,FALSE,ransom
1,FALSE,attacks
1,FALSE,wow
1,FALSE,companies
1,FALSE,stand
1,FALSE,losses
1,FALSE,wake
1,FALSE,listen
1,FALSE,people
1,FALSE,dominique
1,FALSE,leading
1,FALSE,conversation
1,FALSE,speaker
1,FALSE,incredible
1,FALSE,talk
1,FALSE,hope
1,FALSE,deliver
1,FALSE,talk
2,FALSE,sophisticated
2,FALSE,criminals
2,FALSE,targeting
2,FALSE,companies
2,FALSE,holding
2,FALSE,ransom
1,FALSE,financial
1,FALSE,systems
1,FALSE,healthcare
1,FALSE,sectors
1,FALSE,red
1,FALSE,alert
1,FALSE,love
1,FALSE,lady's
1,FALSE,perspective
1,FALSE,national
1,FALSE,security
1,FALSE,governance
1,FALSE,issue
1,FALSE,taking
1,FALSE,lead
1,FALSE,cyber
1,FALSE,attacks
1,FALSE,super
1,FALSE,scary
1,FALSE,global
1,FALSE,companies
1,FALSE,military
1,FALSE,stuff
1,FALSE,senators
1,FALSE,report
1,FALSE,evolve
1,FALSE,sharing
