"videoId","commentId","parentId","author","text","likeCount","publishedAt","updatedAt","viewerRating","canRate","reply"
"qIopJqbzXl0","UgwVSxwqSS0epHAfyIJ4AaABAg",NA,"@konate726","Great speech, thanks for enlightening us 🎉: we saw the results of your honeymoon 😄",4,"2024-11-19T17:54:17Z","2024-11-19T17:54:17Z","none",TRUE,FALSE
"qIopJqbzXl0","UgyUHS0DGDt6x3yP64N4AaABAg",NA,"@SwaathiDevaraj","Absolutely loved this speech! You brought in such a fresh perspective, especially with the references to Switzerland—such a brilliant addition! 🇨🇭 The insights on Race and its impact on marketing were spot on and super thought-provoking. This talk really gave me some great takeaways to think about moving forward. Amazing job, super inspiring! 👏👏👏",4,"2024-11-19T18:41:47Z","2024-11-19T18:41:47Z","none",TRUE,FALSE
"qIopJqbzXl0","UgzuOiLCeRxKx_RgtmZ4AaABAg",NA,"@kunaldevshukla","Amazing perspective and very well articulated..",3,"2024-11-19T18:45:27Z","2024-11-19T18:45:27Z","none",TRUE,FALSE
"qIopJqbzXl0","UgxPBxnenHFctlOdLZR4AaABAg",NA,"@deva_anonymous","Such a wonderful speech Ram . Genuinely loved it 🎉❤️ It was very insightful and definitely makes us think about the choices we make !! The kind of motivation everyone needs to ponder upon !!",3,"2024-11-19T18:50:44Z","2024-11-19T18:50:44Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugxd0YtMPDM_wiMWAJJ4AaABAg",NA,"@rase-n3y","Wow, what an incredible speech! it really added depth and made everything even more relatable. 🇨🇭 The discussion around Race in marketing was so powerful and thought-provoking; you've given us all so much to reflect on. Truly an outstanding presentation, thank you for sharing your wisdom with us!",5,"2024-11-19T18:53:17Z","2024-11-19T18:53:17Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugw_lVAtp6hIFMI554d4AaABAg",NA,"@Tharun_TD","This is incredible! 😍 I’m so proud of you for speaking at TEDx! 🙌It's amazing to see you share your knowledge on such a huge stage! 🌟 Keep doing awesome things—couldn’t be prouder! 👏🎤✨"", Not a lot of teenagers get to hear something like this! Amazing!🙌🙌",8,"2024-11-19T18:55:50Z","2024-11-19T18:55:50Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugw5Mis160rZE5Gdowp4AaABAg",NA,"@kamalaranidevaraj9175","Inspired by your speech and interesting too, love the way you elaborate it in an insightful way, totally loved it",4,"2024-11-19T19:02:19Z","2024-11-19T19:02:19Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugwb_urON2_1ETbwvC54AaABAg",NA,"@saladmeat2744","Such an amazing talk by Ramkumar Sethuramalingam! 🙌 The way he breaks down the role of AI in marketing and the psychology behind consumer decisions is so eye-opening. 🤖✨ It’s not every day you get to hear from someone with such vast experience and knowledge, and self-introspection. Definitely learned a lot from this.",4,"2024-11-19T19:09:50Z","2024-11-19T19:09:50Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugwbej-MtoMytwLB05p4AaABAg",NA,"@biggbrain7817","Its really amazing that you shared your personal story Mr. Ram Kumar😍 , i find this really inspiring and motivative 🙌🙌🙌",4,"2024-11-19T19:13:37Z","2024-11-19T19:13:37Z","none",TRUE,FALSE
NA,"Ugwbej-MtoMytwLB05p4AaABAg.AB1c7qhokw7AB1cDj3U_D1","Ugwbej-MtoMytwLB05p4AaABAg","@ramcaliber","Thankyou :)",1,"2024-11-19T19:14:25Z","2024-11-19T19:14:25Z","none",TRUE,TRUE
"qIopJqbzXl0","UgzFsA_Tn_1swSRdnzx4AaABAg",NA,"@sangeethasethuramalingam3729","Wow, this talk was incredible, Ramkumar! 🙌 Your insights into AI in marketing and the psychology behind consumer behavior were so eye-opening. 🤖✨ It's amazing to see someone with your level of expertise sharing such valuable knowledge on a platform like TEDx. I’m sure this will inspire so many people!",4,"2024-11-19T19:15:36Z","2024-11-19T19:15:36Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugw9yqI_nZdMGUukC_54AaABAg",NA,"@jakobbraun6193","Congratulations on this speech. It has everything a convincing talk needs. Thanks for sharing your experience, thought provoking questions and for making laugh. Can’t wait for your next one ✨🫂",4,"2024-11-19T19:45:42Z","2024-11-19T19:45:42Z","none",TRUE,FALSE
"qIopJqbzXl0","UgyM8HhzGl7rlRcR6tR4AaABAg",NA,"@maniansundar5609","Excellent topic, very well articulated with personal experiences! Shoutout to you, bro!",4,"2024-11-19T19:55:09Z","2024-11-19T19:58:15Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugywbmwp8SkppYirsqN4AaABAg",NA,"@gourig450","Such an inspiring and motivating speech Ram 👏🏼👏🏼👏🏼👏🏼. Please keep it up .",3,"2024-11-19T20:10:15Z","2024-11-19T20:10:15Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugxq6SXd-vVPrIzEeWd4AaABAg",NA,"@innabahlay1997","Ram, what an insightful and at the same time humorous speech on an extremely relevant subject these days. I am currently in the situation where I as future mom am considered a big money bag that can be targeted and manipulated by the marketing AI easily! I will follow your RACE rules and try to protect my choices 💪",2,"2024-11-19T20:17:34Z","2024-11-19T20:17:34Z","none",TRUE,FALSE
"qIopJqbzXl0","UgyK6lHSMzBCN9NX6854AaABAg",NA,"@rameshgajjala9349","Wonderful Ram",4,"2024-11-19T20:41:14Z","2024-11-19T20:41:14Z","none",TRUE,FALSE
"qIopJqbzXl0","UgxxUre4a9XnPljMTlN4AaABAg",NA,"@vinayakp9201","All the German gods are on vacation in Switzerland! For beauty and low taxes😂",4,"2024-11-19T20:41:37Z","2024-11-19T20:41:37Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugw-jxXTjZsPVtTFzkp4AaABAg",NA,"@wjchen9157","Great talk Ram! Congratulations 🎉 I really like your example of getting a pair of shoes. Now I will check all my devices. 😂 Thanks for sharing!",4,"2024-11-19T21:21:54Z","2024-11-19T21:21:54Z","none",TRUE,FALSE
"qIopJqbzXl0","UgzRBvP5PaKgQ6m8f_t4AaABAg",NA,"@latifawarrelmann4798","What a great sprach! Thank you for the insights.🎉",4,"2024-11-19T21:32:53Z","2024-11-19T21:32:53Z","none",TRUE,FALSE
"qIopJqbzXl0","UgxQnfmeiV3YVwxVqWl4AaABAg",NA,"@johannagonzalez4183","Very nice and interesting talk. You might feel manipulated by the system. It’s good to be conscious of your choices 😊…Congrats 👏👏👏",4,"2024-11-19T21:49:35Z","2024-11-19T21:49:35Z","none",TRUE,FALSE
"qIopJqbzXl0","UgzCYMfRq91t3GiBC8t4AaABAg",NA,"@robertaaceska8646","Absolutely brilliant, Ram! Your talk was so inspiring and incredibly informative - loved how you seamlessly blended personal stories with powerful insights on marketing AI. Your passion and creativity truly shine through. Amazing work! 👏⭐️✨🙌🎉🎊💯",4,"2024-11-19T22:06:35Z","2024-11-19T22:07:12Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugw5xqXpUIZXmJII58t4AaABAg",NA,"@dlinkmusic671","An excellent talk that really stood out! The insights into AI marketing were not only informative but also presented in a way that kept me hooked throughout. It’s always great to learn from someone with such clarity and perspective! 🙌👏",4,"2024-11-19T22:15:35Z","2024-11-19T22:15:35Z","none",TRUE,FALSE
"qIopJqbzXl0","Ugx5VnETOpdpCDD2KVx4AaABAg",NA,"@saravananamudha6522","Congratulations 🎉🎉Wonderful speech ❤",5,"2024-11-20T01:36:15Z","2024-11-20T01:36:15Z","none",TRUE,FALSE
"qIopJqbzXl0","UgzEhUHVlfbZ22fgcGd4AaABAg",NA,"@ekedar2796","Your deep knowledge of AI and its applications in marketing really came through. It's clear that you have a great understanding of both the technical aspects and practical implications.",4,"2024-11-20T03:24:36Z","2024-11-20T03:24:36Z","none",TRUE,FALSE
"qIopJqbzXl0","UgzwT4fuqEZ9dT20BXJ4AaABAg",NA,"@Oktay-ez5dt","congratulations for the great talk. Interesting insights!",4,"2024-11-20T09:06:21Z","2024-11-20T09:06:21Z","none",TRUE,FALSE
