doc_id,V1,V2,V3,V4,V5,V6,V7,V8
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0.05,0,0.15000000000000002,0.6000000000000001,0.2,0,0
4,0,0.1,0.2,0,0.4,0.30000000000000004,0,0
5,0,0,0.8,0,0.2,0,0,0
6,0,0,0,0,0,0,1,0
7,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,1
9,0,1,0,0,0,0,0,0
10,0,0.016666666666666666,0,0.15,0.7833333333333333,0,0.05,0
11,0,0.30000000000000004,0,0,0,0,0.7000000000000001,0
12,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0
13,0,0,0.30000000000000004,0,0,0,0,0.7000000000000001
14,0,0.7000000000000001,0,0,0.15000000000000002,0,0.15000000000000002,0
15,0,0,0,0,0,0,0,1
16,0.9,0.05,0,0,0,0.05,0,0
17,0.04,0.4,0,0,0.56,0,0,0
18,0,0,0,0,0,1,0,0
19,0,0,0,1,0,0,0,0
20,0,0.4,0,0,0,0,0,0.6000000000000001
21,0.6000000000000001,0,0.1,0,0,0.1,0,0.2
22,0.30000000000000004,0.1,0,0.4,0,0.2,0,0
23,0.05,0.1,0,0.25,0,0.5,0,0.1
24,0.3333333333333333,0,0,0,0.6666666666666666,0,0,0
25,0,0.30000000000000004,0.5,0,0,0,0.2,0
26,0,0.05,0,0,0.9500000000000001,0,0,0
27,0,0,0,0,0,0,0.4,0.6000000000000001
28,0,0.875,0,0,0,0,0.125,0
29,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0
32,0,0.7875000000000001,0,0.025,0,0,0.1875,0
33,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,1
35,0,0.8333333333333334,0,0,0.03333333333333333,0.13333333333333333,0,0
36,0.6000000000000001,0.1,0,0,0,0.30000000000000004,0,0
37,0,0,0,0.025,0.1,0,0.5625,0.3125
38,0,1,0,0,0,0,0,0
39,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0
41,0,0,0,0,1,0,0,0
42,0,0.05,0,0,0.5333333333333333,0.36666666666666664,0.03333333333333333,0.016666666666666666
43,0.9,0,0,0.1,0,0,0,0
44,0,0.15000000000000002,0,0,0.55,0.1,0,0.2
45,0.8,0.2,0,0,0,0,0,0
